stop_name,stop_id,line_id,arrival_delay,arrival_time_hour,result
"Strathfield Station, Platform 6",2135236.0,T1,348.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,431.0,10.0,1
"Strathfield Station, Platform 6",2135236.0,T1,281.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,343.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,261.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,0.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,267.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,68.0,11.0,0
"Strathfield Station, Platform 6",2135236.0,T1,279.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,231.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,8.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,226.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,21.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,31.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,67.0,11.0,0
"Strathfield Station, Platform 6",2135236.0,T1,4.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,59.0,11.0,0
"Strathfield Station, Platform 6",2135236.0,T1,41.0,11.0,0
"Strathfield Station, Platform 6",2135236.0,T1,42.0,11.0,0
"Strathfield Station, Platform 6",2135236.0,T1,3.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,0.0,9.0,0
"Strathfield Station, Platform 6",2135236.0,T1,293.0,9.0,0
"Strathfield Station, Platform 6",2135236.0,T1,346.0,9.0,0
"Strathfield Station, Platform 6",2135236.0,T1,286.0,9.0,0
"Strathfield Station, Platform 6",2135236.0,T1,373.0,9.0,0
"Strathfield Station, Platform 6",2135236.0,T1,323.0,9.0,0
"Strathfield Station, Platform 6",2135236.0,T1,292.0,9.0,0
"Strathfield Station, Platform 6",2135236.0,T1,228.0,9.0,0
"Strathfield Station, Platform 6",2135236.0,T1,93.0,9.0,0
"Strathfield Station, Platform 6",2135236.0,T1,37.0,9.0,0
"Strathfield Station, Platform 6",2135236.0,T1,2.0,9.0,0
"Strathfield Station, Platform 6",2135236.0,T1,0.0,10.0,0
"Strathfield Station, Platform 6",2135236.0,T1,0.0,14.0,0
"Strathfield Station, Platform 6",2135236.0,T1,13.0,14.0,0
"Strathfield Station, Platform 6",2135236.0,T1,15.0,14.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,545.0,9.0,1
"Epping Station, Platform 2",2121222.0,T1,621.0,9.0,1
"Epping Station, Platform 2",2121222.0,T1,649.0,9.0,1
"Epping Station, Platform 2",2121222.0,T1,717.0,9.0,1
"Epping Station, Platform 2",2121222.0,T1,80.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,88.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,48.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,348.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,18.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,431.0,10.0,1
"Epping Station, Platform 2",2121222.0,T1,98.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,281.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,315.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,343.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,352.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,261.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,11.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,267.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,68.0,11.0,0
"Epping Station, Platform 2",2121222.0,T1,279.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,231.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,8.0,11.0,0
"Epping Station, Platform 2",2121222.0,T1,226.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,21.0,11.0,0
"Epping Station, Platform 2",2121222.0,T1,31.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,67.0,11.0,0
"Epping Station, Platform 2",2121222.0,T1,4.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,59.0,11.0,0
"Epping Station, Platform 2",2121222.0,T1,41.0,11.0,0
"Epping Station, Platform 2",2121222.0,T1,42.0,11.0,0
"Epping Station, Platform 2",2121222.0,T1,3.0,11.0,0
"Epping Station, Platform 2",2121222.0,T1,35.0,11.0,0
"Epping Station, Platform 2",2121222.0,T1,29.0,11.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,263.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,316.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,256.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,343.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,293.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,262.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,198.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,63.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,7.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,2.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,9.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,141.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,119.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,10.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,14.0,0
"Epping Station, Platform 2",2121222.0,T1,0.0,14.0,0
"Burwood Station, Platform 4",213494.0,T1,0.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,0.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,19.0,7.0,0
"Burwood Station, Platform 4",213494.0,T1,526.0,8.0,1
"Burwood Station, Platform 4",213494.0,T1,80.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,88.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,0.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,348.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,431.0,10.0,1
"Burwood Station, Platform 4",213494.0,T1,281.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,343.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,261.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,0.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,267.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,68.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,279.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,231.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,8.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,226.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,21.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,31.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,67.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,4.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,59.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,41.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,42.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,3.0,10.0,0
"Burwood Station, Platform 4",213494.0,T1,0.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,293.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,346.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,286.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,373.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,323.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,292.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,228.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,93.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,37.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,2.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,0.0,9.0,0
"Burwood Station, Platform 4",213494.0,T1,0.0,14.0,0
"Burwood Station, Platform 4",213494.0,T1,13.0,14.0,0
"Burwood Station, Platform 4",213494.0,T1,15.0,14.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,0.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,0.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,80.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,88.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,0.0,10.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,48.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,348.0,10.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,0.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,431.0,10.0,1
"North Strathfield Station, Platform 2",2137172.0,T1,281.0,10.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,343.0,10.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,261.0,10.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,0.0,11.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,267.0,10.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,68.0,11.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,279.0,10.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,231.0,10.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,8.0,11.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,226.0,10.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,21.0,11.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,31.0,10.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,67.0,11.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,4.0,10.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,59.0,11.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,41.0,11.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,42.0,11.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,3.0,11.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,0.0,11.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,0.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,263.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,316.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,256.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,343.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,293.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,262.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,198.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,63.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,7.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,2.0,9.0,0
"North Strathfield Station, Platform 2",2137172.0,T1,0.0,14.0,0
"Concord West Station, Platform 3",213882.0,T1,0.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,0.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,80.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,88.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,0.0,10.0,0
"Concord West Station, Platform 3",213882.0,T1,48.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,348.0,10.0,0
"Concord West Station, Platform 3",213882.0,T1,18.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,431.0,10.0,1
"Concord West Station, Platform 3",213882.0,T1,0.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,281.0,10.0,0
"Concord West Station, Platform 3",213882.0,T1,343.0,10.0,0
"Concord West Station, Platform 3",213882.0,T1,261.0,10.0,0
"Concord West Station, Platform 3",213882.0,T1,0.0,11.0,0
"Concord West Station, Platform 3",213882.0,T1,267.0,10.0,0
"Concord West Station, Platform 3",213882.0,T1,68.0,11.0,0
"Concord West Station, Platform 3",213882.0,T1,279.0,10.0,0
"Concord West Station, Platform 3",213882.0,T1,231.0,10.0,0
"Concord West Station, Platform 3",213882.0,T1,8.0,11.0,0
"Concord West Station, Platform 3",213882.0,T1,226.0,10.0,0
"Concord West Station, Platform 3",213882.0,T1,21.0,11.0,0
"Concord West Station, Platform 3",213882.0,T1,31.0,10.0,0
"Concord West Station, Platform 3",213882.0,T1,67.0,11.0,0
"Concord West Station, Platform 3",213882.0,T1,4.0,10.0,0
"Concord West Station, Platform 3",213882.0,T1,59.0,11.0,0
"Concord West Station, Platform 3",213882.0,T1,41.0,11.0,0
"Concord West Station, Platform 3",213882.0,T1,42.0,11.0,0
"Concord West Station, Platform 3",213882.0,T1,3.0,11.0,0
"Concord West Station, Platform 3",213882.0,T1,0.0,11.0,0
"Concord West Station, Platform 3",213882.0,T1,0.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,263.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,316.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,256.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,343.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,293.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,262.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,198.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,63.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,7.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,2.0,9.0,0
"Concord West Station, Platform 3",213882.0,T1,0.0,14.0,0
"Rhodes Station, Platform 2",213892.0,T1,0.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,0.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,215.0,8.0,0
"Rhodes Station, Platform 2",213892.0,T1,80.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,88.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,0.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,48.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,348.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,18.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,431.0,10.0,1
"Rhodes Station, Platform 2",213892.0,T1,98.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,281.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,0.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,343.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,261.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,0.0,11.0,0
"Rhodes Station, Platform 2",213892.0,T1,267.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,68.0,11.0,0
"Rhodes Station, Platform 2",213892.0,T1,279.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,231.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,8.0,11.0,0
"Rhodes Station, Platform 2",213892.0,T1,226.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,21.0,11.0,0
"Rhodes Station, Platform 2",213892.0,T1,31.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,67.0,11.0,0
"Rhodes Station, Platform 2",213892.0,T1,4.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,59.0,11.0,0
"Rhodes Station, Platform 2",213892.0,T1,41.0,11.0,0
"Rhodes Station, Platform 2",213892.0,T1,0.0,10.0,0
"Rhodes Station, Platform 2",213892.0,T1,42.0,11.0,0
"Rhodes Station, Platform 2",213892.0,T1,3.0,11.0,0
"Rhodes Station, Platform 2",213892.0,T1,0.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,263.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,316.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,256.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,343.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,293.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,262.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,198.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,63.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,7.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,2.0,9.0,0
"Rhodes Station, Platform 2",213892.0,T1,0.0,14.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,9.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,215.0,8.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,8.0,0
"Meadowbank Station, Platform 2",2114182.0,T1,545.0,9.0,1
"Meadowbank Station, Platform 2",2114182.0,T1,621.0,9.0,1
"Meadowbank Station, Platform 2",2114182.0,T1,0.0,9.0,0
