stop_id,arrival_delay,departure_delay,stop_lat,stop_lon,arrival_time_hour,departure_time_hour,line_id_label,on_time
2000332,0,0,-33.8837156130432,151.206533599267,9,9,4,1
2135233,48,48,-33.871408952199005,151.09406782943398,9,9,4,0
2000324,0,0,-33.883325090317804,151.205833824408,9,9,4,1
2121223,215,185,-33.7726113758111,151.08181266226998,8,8,4,0
2121223,315,285,-33.7726113758111,151.08181266226998,8,8,4,0
2121223,351,321,-33.7726113758111,151.08181266226998,8,8,4,0
2121223,0,0,-33.7726113758111,151.08181266226998,8,8,4,1
2000338,0,-3,-33.8841621713596,151.206912049805,7,7,4,1
2000338,479,518,-33.8841621713596,151.206912049805,8,8,4,0
2000338,0,0,-33.8841621713596,151.206912049805,10,10,4,1
2000338,378,348,-33.8841621713596,151.206912049805,10,10,4,0
2000338,461,431,-33.8841621713596,151.206912049805,10,10,4,0
2000338,311,281,-33.8841621713596,151.206912049805,10,10,4,0
2000338,373,343,-33.8841621713596,151.206912049805,10,10,4,0
2000338,291,261,-33.8841621713596,151.206912049805,10,10,4,0
2000338,0,0,-33.8841621713596,151.206912049805,10,10,4,1
2000338,297,267,-33.8841621713596,151.206912049805,10,10,4,0
2000338,98,68,-33.8841621713596,151.206912049805,10,10,4,0
2000338,309,279,-33.8841621713596,151.206912049805,10,10,4,0
2000338,9,0,-33.8841621713596,151.206912049805,10,10,4,0
2000338,261,231,-33.8841621713596,151.206912049805,10,10,4,0
2000338,38,8,-33.8841621713596,151.206912049805,10,10,4,0
2000338,256,226,-33.8841621713596,151.206912049805,10,10,4,0
2000338,51,21,-33.8841621713596,151.206912049805,10,10,4,0
2000338,97,67,-33.8841621713596,151.206912049805,10,10,4,0
2000338,89,59,-33.8841621713596,151.206912049805,10,10,4,0
2000338,71,41,-33.8841621713596,151.206912049805,10,10,4,0
2000338,1,0,-33.8841621713596,151.206912049805,10,10,4,0
2000338,25,0,-33.8841621713596,151.206912049805,10,10,4,0
2000338,0,0,-33.8841621713596,151.206912049805,9,9,4,1
2000338,13,0,-33.8841621713596,151.206912049805,9,9,4,0
2000338,323,293,-33.8841621713596,151.206912049805,9,9,4,0
2000338,376,346,-33.8841621713596,151.206912049805,9,9,4,0
2000338,316,286,-33.8841621713596,151.206912049805,9,9,4,0
2000338,403,373,-33.8841621713596,151.206912049805,9,9,4,0
2000338,353,323,-33.8841621713596,151.206912049805,9,9,4,0
2000338,322,292,-33.8841621713596,151.206912049805,9,9,4,0
2000338,258,228,-33.8841621713596,151.206912049805,9,9,4,0
2000338,123,93,-33.8841621713596,151.206912049805,9,9,4,0
2000338,67,37,-33.8841621713596,151.206912049805,9,9,4,0
2000338,0,0,-33.8841621713596,151.206912049805,9,9,4,1
2000338,0,0,-33.8841621713596,151.206912049805,14,14,4,1
2015134,0,0,-33.891916973126,151.198553094506,9,9,4,1
2015134,0,0,-33.891916973126,151.198553094506,9,9,4,1
2015134,0,19,-33.891916973126,151.198553094506,7,7,4,1
2015134,521,559,-33.891916973126,151.198553094506,8,8,4,0
2015134,80,80,-33.891916973126,151.198553094506,9,9,4,0
2015134,0,0,-33.891916973126,151.198553094506,9,9,4,1
2015134,0,0,-33.891916973126,151.198553094506,10,10,4,1
2015134,348,348,-33.891916973126,151.198553094506,10,10,4,0
2015134,431,431,-33.891916973126,151.198553094506,10,10,4,0
2015134,281,281,-33.891916973126,151.198553094506,10,10,4,0
2015134,343,343,-33.891916973126,151.198553094506,10,10,4,0
2015134,261,261,-33.891916973126,151.198553094506,10,10,4,0
2015134,0,0,-33.891916973126,151.198553094506,10,10,4,1
2015134,267,267,-33.891916973126,151.198553094506,10,10,4,0
2015134,68,68,-33.891916973126,151.198553094506,10,10,4,0
2015134,279,279,-33.891916973126,151.198553094506,10,10,4,0
2015134,231,231,-33.891916973126,151.198553094506,10,10,4,0
2015134,8,8,-33.891916973126,151.198553094506,10,10,4,0
2015134,226,226,-33.891916973126,151.198553094506,10,10,4,0
2015134,21,21,-33.891916973126,151.198553094506,10,10,4,0
2015134,67,67,-33.891916973126,151.198553094506,10,10,4,0
2015134,59,59,-33.891916973126,151.198553094506,10,10,4,0
2015134,41,41,-33.891916973126,151.198553094506,10,10,4,0
2015134,0,0,-33.891916973126,151.198553094506,9,9,4,1
2015134,293,293,-33.891916973126,151.198553094506,9,9,4,0
2015134,346,346,-33.891916973126,151.198553094506,9,9,4,0
2015134,286,286,-33.891916973126,151.198553094506,9,9,4,0
2015134,373,373,-33.891916973126,151.198553094506,9,9,4,0
2015134,323,323,-33.891916973126,151.198553094506,9,9,4,0
2015134,292,292,-33.891916973126,151.198553094506,9,9,4,0
2015134,228,228,-33.891916973126,151.198553094506,9,9,4,0
2015134,93,93,-33.891916973126,151.198553094506,9,9,4,0
2015134,37,37,-33.891916973126,151.198553094506,9,9,4,0
2015134,2,2,-33.891916973126,151.198553094506,9,9,4,0
2015134,0,0,-33.891916973126,151.198553094506,9,9,4,1
2015134,0,0,-33.891916973126,151.198553094506,14,14,4,1
2135236,0,0,-33.8715687030314,151.093870234045,9,9,4,1
2135236,0,0,-33.8715687030314,151.093870234045,9,9,4,1
2135236,22,59,-33.8715687030314,151.093870234045,7,8,4,0
2135236,524,560,-33.8715687030314,151.093870234045,8,8,4,0
2135236,80,80,-33.8715687030314,151.093870234045,9,9,4,0
2135236,88,88,-33.8715687030314,151.093870234045,9,9,4,0
2135236,0,0,-33.8715687030314,151.093870234045,10,10,4,1
2135236,348,348,-33.8715687030314,151.093870234045,10,10,4,0
